Event Name,Venue Name,Event Date,Section,Row,Notes,Stock Type,Quantity,Price
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",425,4,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,7,38.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",425,4,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,8,38.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",424,1,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,4,39.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",417,1,Mobile Tickets: You will need to set up a separate account to access your tickets (instructions will be emailed). XFER. Ready to ship by 4/3/2021,Electronic Transfer,6,40.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",417,2,XFER. Ready to ship by 4/3/2021,Electronic Transfer,4,40.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",424,4,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,7,40.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",424,4,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,7,40.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",328,1,Seats 3 - 6. Includes access to Audi Club and Pepsi Lounge where food is available for purchase.. Ready to ship by 3/30/2021,FedEx Delivery,4,41.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",238,3,Ready to ship by 4/2/2021.,FedEx Delivery,5,41.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",423,4,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,8,42.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",237,5,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,7,43.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",416,3,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,2,46.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",228,15,Seats 9 - 12. XFER. Ready to ship by 3/26/2021,Electronic Transfer,4,47.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",312,2,Seats 19 - 22. Includes access to Audi Club and Pepsi Lounge where food is available for purchase.. Ready to ship by 3/31/2021,FedEx Delivery,4,47.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",328,1,Seats 15 - 20. Includes access to Audi Club and Pepsi Lounge where food is available for purchase.. Ready to ship by 3/30/2021,FedEx Delivery,6,47.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",311,1,Seats 5 - 9. Includes access to Audi Club and Pepsi Lounge where food is available for purchase.. Ready to ship by 3/31/2021,FedEx Delivery,5,47.00
